940,870 
15,222,b
52,211,b
104,190,b
157,171,b
213,152,b
263,135,b
317,116,b
356,104,b
415,80,b
469,65,b
523,45,b
581,25,b
464,108,b
478,143,b
488,187,b
510,236,b
557,215,b
603,205,b
664,181,b
692,342,b
641,356,b
577,377,b
531,362,b
511,301,b
688,224,b
695,273,b
582,278,b
662,279,b
600,326,b
456,234,s
430,270,s
419,295,s
404,312,s
379,325,s
365,353,s
332,375,s
292,387,s
256,399,s
227,409,s
313,354,s
269,421,s
252,430,s
235,437,s
214,445,s
176,418,s
144,439,s
163,364,s
132,414,s
144,330,s
132,295,s
117,266,s
107,236,s
557,415,s
