epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.3431,1.32284,3.27573,1.23369,0.20329,0.38432,0.20188,0.13586,1.09965,2.29854,1.11677,0.000137345,0.000137345,0.000137345
2,137.649,1.06371,1.71494,1.10417,0.33681,0.49565,0.35919,0.24511,1.03782,1.86542,1.07963,0.000271786,0.000271786,0.000271786
3,208.394,1.01415,1.30537,1.08827,0.45243,0.57041,0.47611,0.32199,1.08155,1.91464,1.09583,0.000401639,0.000401639,0.000401639
4,274.361,0.98982,1.13256,1.08225,0.53391,0.55827,0.58233,0.41828,0.99808,1.563,1.08108,0.000396358,0.000396358,0.000396358
5,340.148,0.94529,0.99472,1.06222,0.54627,0.61865,0.61151,0.43875,1.01669,1.50234,1.08706,0.000389478,0.000389478,0.000389478
6,406.684,0.92871,0.88018,1.05308,0.65673,0.64891,0.68382,0.49279,0.99655,1.35783,1.06679,0.000382597,0.000382597,0.000382597
7,473.114,0.90655,0.84597,1.03789,0.64458,0.66049,0.68508,0.50285,0.95181,1.22027,1.04882,0.000375717,0.000375717,0.000375717
8,539.983,0.89943,0.76739,1.03858,0.63841,0.65861,0.68686,0.50665,0.95415,1.33255,1.04946,0.000368836,0.000368836,0.000368836
9,605.759,0.87623,0.70579,1.02338,0.66921,0.68222,0.71139,0.52546,0.93967,1.27597,1.03828,0.000361956,0.000361956,0.000361956
10,671.397,0.86863,0.72803,1.01789,0.67924,0.64304,0.70684,0.52044,0.95251,1.22961,1.03666,0.000355076,0.000355076,0.000355076
11,736.934,0.86009,0.68251,1.01378,0.75384,0.71088,0.78236,0.57788,0.9486,1.09423,1.04466,0.000348195,0.000348195,0.000348195
12,802.676,0.84901,0.6439,1.00887,0.75284,0.73058,0.79321,0.59062,0.93193,1.06169,1.03796,0.000341315,0.000341315,0.000341315
13,868.381,0.8239,0.57853,0.99694,0.71202,0.71036,0.76855,0.57292,0.94141,1.0951,1.05392,0.000334434,0.000334434,0.000334434
14,934.009,0.8333,0.57409,1.00256,0.74298,0.7405,0.78085,0.58738,0.91287,0.97957,1.03094,0.000327553,0.000327553,0.000327553
15,999.663,0.82234,0.56109,0.99649,0.74023,0.72082,0.7657,0.57512,0.91859,1.13374,1.02356,0.000320673,0.000320673,0.000320673
16,1065.19,0.81318,0.55911,0.99873,0.76897,0.73819,0.7986,0.60179,0.91392,0.96543,1.03086,0.000313792,0.000313792,0.000313792
17,1130.79,0.79452,0.53885,0.98846,0.78409,0.74294,0.81933,0.61353,0.92004,0.89333,1.03261,0.000306912,0.000306912,0.000306912
18,1196.39,0.78605,0.52711,0.98579,0.7906,0.76108,0.82724,0.62272,0.91039,0.8389,1.03219,0.000300032,0.000300032,0.000300032
19,1261.91,0.80258,0.52307,0.98559,0.76049,0.73653,0.79375,0.60319,0.89894,1.05153,1.0277,0.000293151,0.000293151,0.000293151
20,1327.5,0.77611,0.5131,0.98202,0.80245,0.75782,0.82623,0.62537,0.91096,0.93919,1.02693,0.00028627,0.00028627,0.00028627
21,1393.16,0.7739,0.50782,0.97482,0.78175,0.76221,0.81893,0.62119,0.89615,0.86543,1.01728,0.00027939,0.00027939,0.00027939
22,1458.7,0.77173,0.49382,0.97949,0.77232,0.75233,0.80064,0.59894,0.9251,0.98742,1.05139,0.000272509,0.000272509,0.000272509
23,1524.29,0.76224,0.46919,0.97418,0.80822,0.75876,0.82454,0.62969,0.89242,0.92696,1.01917,0.000265629,0.000265629,0.000265629
24,1590.7,0.76308,0.48255,0.9703,0.80781,0.78617,0.83724,0.63733,0.89324,0.81691,1.01575,0.000258749,0.000258749,0.000258749
25,1656.33,0.74372,0.46629,0.96946,0.81616,0.77302,0.84131,0.64425,0.89127,0.82258,1.01875,0.000251868,0.000251868,0.000251868
26,1721.82,0.7396,0.46386,0.96523,0.77763,0.76724,0.82365,0.63045,0.89409,0.92038,1.0164,0.000244987,0.000244987,0.000244987
27,1787.39,0.73879,0.45752,0.9653,0.80673,0.75557,0.82794,0.63356,0.88671,0.93359,1.01645,0.000238107,0.000238107,0.000238107
28,1852.93,0.72434,0.44407,0.95567,0.80201,0.77363,0.83111,0.63619,0.88092,0.84869,1.01933,0.000231226,0.000231226,0.000231226
29,1919.01,0.721,0.44698,0.95527,0.81278,0.80529,0.85271,0.65454,0.87855,0.74243,1.00854,0.000224346,0.000224346,0.000224346
30,1985.04,0.7131,0.43042,0.9575,0.79808,0.77023,0.81973,0.62166,0.89496,0.96334,1.02883,0.000217465,0.000217465,0.000217465
31,2050.67,0.71453,0.431,0.9513,0.80957,0.79033,0.85039,0.65619,0.87614,0.83924,1.00683,0.000210585,0.000210585,0.000210585
32,2116.32,0.72276,0.42733,0.9529,0.79398,0.78157,0.82901,0.63761,0.87693,0.9535,1.00658,0.000203704,0.000203704,0.000203704
33,2181.79,0.7064,0.41913,0.94935,0.82786,0.77285,0.83537,0.63944,0.87969,0.87339,1.01949,0.000196824,0.000196824,0.000196824
34,2247.28,0.70224,0.41301,0.94653,0.8219,0.78993,0.839,0.64318,0.87883,0.8591,1.01262,0.000189943,0.000189943,0.000189943
35,2312.79,0.69478,0.40534,0.94334,0.80996,0.80237,0.84248,0.64729,0.87614,0.86894,1.01599,0.000183063,0.000183063,0.000183063
36,2378.13,0.69489,0.39844,0.9443,0.83685,0.79536,0.85655,0.6577,0.87974,0.78209,1.01354,0.000176182,0.000176182,0.000176182
37,2443.79,0.69074,0.39962,0.94563,0.82023,0.80359,0.85117,0.65156,0.89265,0.84256,1.01439,0.000169302,0.000169302,0.000169302
38,2509.4,0.68105,0.39422,0.94273,0.81222,0.80413,0.84601,0.65148,0.87047,0.84686,1.01002,0.000162421,0.000162421,0.000162421
39,2575.79,0.68112,0.39109,0.9403,0.81863,0.79047,0.85444,0.65806,0.86975,0.84922,1.0144,0.000155541,0.000155541,0.000155541
40,2641.46,0.67711,0.38514,0.93825,0.83905,0.79356,0.85754,0.65978,0.87061,0.76031,1.00907,0.00014866,0.00014866,0.00014866
41,2707.06,0.65068,0.37507,0.93,0.81429,0.80337,0.86085,0.66328,0.86695,0.82198,1.0092,0.00014178,0.00014178,0.00014178
42,2772.69,0.66672,0.37944,0.93663,0.83989,0.79891,0.86654,0.66775,0.87722,0.80508,1.01435,0.000134899,0.000134899,0.000134899
43,2839.04,0.66478,0.38001,0.93153,0.82066,0.78786,0.84646,0.6562,0.87048,0.8842,1.00895,0.000128019,0.000128019,0.000128019
44,2904.68,0.65477,0.37336,0.92894,0.81171,0.79933,0.84861,0.65966,0.86068,0.84064,1.00128,0.000121138,0.000121138,0.000121138
45,2970.13,0.65732,0.37421,0.93363,0.84339,0.80043,0.86199,0.66827,0.8662,0.77988,1.00525,0.000114258,0.000114258,0.000114258
46,3035.81,0.64557,0.36448,0.92834,0.82743,0.8043,0.85859,0.66618,0.85726,0.79557,1.0036,0.000107378,0.000107378,0.000107378
47,3101.34,0.64318,0.36384,0.92438,0.83646,0.80142,0.86065,0.66617,0.86201,0.79424,1.00592,0.000100497,0.000100497,0.000100497
48,3166.94,0.654,0.35997,0.92619,0.84366,0.81778,0.87222,0.67482,0.86416,0.73085,1.00471,9.36165e-05,9.36165e-05,9.36165e-05
49,3232.56,0.647,0.35871,0.92294,0.84811,0.80244,0.86427,0.66843,0.86361,0.7801,1.00524,8.6736e-05,8.6736e-05,8.6736e-05
50,3298.66,0.63222,0.34935,0.92192,0.82478,0.81546,0.86086,0.66727,0.86681,0.80392,1.01006,7.98555e-05,7.98555e-05,7.98555e-05
51,3364.65,0.60133,0.30465,0.90781,0.83666,0.78632,0.85859,0.66637,0.86487,0.81684,1.01203,7.2975e-05,7.2975e-05,7.2975e-05
52,3429.88,0.58549,0.29691,0.89632,0.82579,0.80962,0.85609,0.66587,0.86313,0.82051,1.00971,6.60945e-05,6.60945e-05,6.60945e-05
53,3495.05,0.57892,0.29101,0.89566,0.82623,0.79834,0.84898,0.65973,0.86767,0.86629,1.01106,5.9214e-05,5.9214e-05,5.9214e-05
54,3560.29,0.57721,0.29442,0.89928,0.82494,0.79867,0.84984,0.66112,0.87337,0.86975,1.00995,5.23335e-05,5.23335e-05,5.23335e-05
55,3625.52,0.57105,0.2893,0.89648,0.83611,0.79984,0.85788,0.66597,0.87485,0.82532,1.01051,4.5453e-05,4.5453e-05,4.5453e-05
56,3690.71,0.56857,0.28315,0.89219,0.84658,0.79666,0.86074,0.66759,0.87189,0.81545,1.01546,3.85725e-05,3.85725e-05,3.85725e-05
57,3755.95,0.55798,0.27842,0.8861,0.84251,0.80081,0.86204,0.6703,0.86886,0.81203,1.01226,3.1692e-05,3.1692e-05,3.1692e-05
58,3821.15,0.55762,0.27473,0.89074,0.83585,0.80215,0.85766,0.66781,0.86331,0.82751,1.01215,2.48115e-05,2.48115e-05,2.48115e-05
59,3886.42,0.55808,0.27825,0.89341,0.83468,0.80456,0.8597,0.66948,0.86552,0.81856,1.01245,1.7931e-05,1.7931e-05,1.7931e-05
60,3951.64,0.54655,0.2746,0.88852,0.83941,0.79725,0.85742,0.66838,0.8648,0.83513,1.01065,1.10505e-05,1.10505e-05,1.10505e-05
