epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.3321,1.32284,3.27573,1.23369,0.20329,0.38432,0.20188,0.13586,1.09965,2.29854,1.11677,0.000137345,0.000137345,0.000137345
2,138.163,1.06363,1.71379,1.10417,0.35233,0.47303,0.36059,0.24698,1.03539,1.85583,1.07419,0.000269506,0.000269506,0.000269506
3,205.641,1.01165,1.30765,1.08364,0.45872,0.55062,0.47155,0.31895,1.07772,1.84005,1.09088,0.000394786,0.000394786,0.000394786
4,271.9,0.98737,1.14737,1.0742,0.57133,0.59271,0.60721,0.43836,0.99329,1.41062,1.06123,0.000386038,0.000386038,0.000386038
5,338.125,0.94111,0.99514,1.05873,0.55278,0.62521,0.62368,0.44832,1.00409,1.55687,1.08714,0.000375717,0.000375717,0.000375717
6,404.411,0.92003,0.88687,1.03975,0.63702,0.63585,0.65706,0.47785,0.99349,1.49315,1.05542,0.000365396,0.000365396,0.000365396
7,471.142,0.90896,0.83303,1.0292,0.69193,0.68285,0.72829,0.53718,0.94178,1.19589,1.04324,0.000355076,0.000355076,0.000355076
8,538.626,0.8894,0.75066,1.0286,0.66444,0.6889,0.72285,0.53664,0.93873,1.2139,1.0328,0.000344755,0.000344755,0.000344755
9,604.76,0.87658,0.71006,1.01768,0.71669,0.71108,0.75604,0.55888,0.93935,1.10561,1.03463,0.000334434,0.000334434,0.000334434
10,671.028,0.86256,0.68701,1.01638,0.71165,0.71291,0.75379,0.55592,0.94872,1.03408,1.03271,0.000324113,0.000324113,0.000324113
11,736.674,0.85767,0.63548,1.00894,0.74283,0.72455,0.77974,0.58242,0.92811,1.03164,1.02906,0.000313792,0.000313792,0.000313792
12,802.531,0.84552,0.61435,1.00479,0.75434,0.74262,0.78908,0.58959,0.93254,1.04236,1.02848,0.000303472,0.000303472,0.000303472
13,868.51,0.80927,0.56636,0.98816,0.75318,0.71225,0.78912,0.59793,0.90171,0.99001,1.02461,0.000293151,0.000293151,0.000293151
14,934.398,0.81942,0.56803,0.99341,0.76016,0.73514,0.77691,0.58504,0.91774,1.04975,1.02435,0.00028283,0.00028283,0.00028283
15,1000.21,0.8126,0.55494,0.98981,0.75862,0.73446,0.7915,0.59576,0.91829,1.06892,1.01951,0.000272509,0.000272509,0.000272509
16,1065.95,0.79617,0.55319,0.98844,0.75747,0.74357,0.79508,0.60256,0.89117,0.9547,1.01963,0.000262189,0.000262189,0.000262189
17,1131.77,0.78646,0.52826,0.98263,0.76522,0.75252,0.81274,0.61546,0.90629,0.91439,1.02015,0.000251868,0.000251868,0.000251868
18,1197.59,0.78061,0.50934,0.97845,0.77048,0.75992,0.80577,0.6121,0.89328,0.91642,1.01512,0.000241547,0.000241547,0.000241547
19,1263.27,0.79069,0.49854,0.9769,0.80192,0.77642,0.83339,0.63602,0.88766,0.84808,1.0076,0.000231226,0.000231226,0.000231226
20,1329.12,0.76264,0.48936,0.97271,0.79454,0.75088,0.83134,0.63362,0.89745,0.93465,1.02074,0.000220906,0.000220906,0.000220906
21,1394.94,0.76023,0.47557,0.96743,0.76819,0.75699,0.81378,0.62133,0.883,0.94837,1.00435,0.000210585,0.000210585,0.000210585
22,1460.65,0.75592,0.47835,0.96926,0.80196,0.78879,0.83834,0.64224,0.88315,0.85109,1.00678,0.000200264,0.000200264,0.000200264
23,1526.51,0.73719,0.44816,0.96002,0.78943,0.77841,0.82836,0.63402,0.87768,0.90878,1.00418,0.000189943,0.000189943,0.000189943
24,1593.08,0.74419,0.45637,0.95944,0.79842,0.78858,0.83251,0.63588,0.88399,0.86835,1.00617,0.000179623,0.000179623,0.000179623
25,1658.83,0.72706,0.44779,0.9571,0.77709,0.79242,0.83499,0.64193,0.87511,0.85844,0.99836,0.000169302,0.000169302,0.000169302
26,1724.61,0.72008,0.43766,0.95152,0.81385,0.75868,0.83881,0.64488,0.87708,0.87922,1.0001,0.000158981,0.000158981,0.000158981
27,1790.45,0.72572,0.42712,0.95551,0.80729,0.78628,0.84001,0.64538,0.88029,0.87206,0.99984,0.00014866,0.00014866,0.00014866
28,1856.22,0.70256,0.41226,0.94223,0.81465,0.77113,0.83793,0.64406,0.87579,0.84142,1.00417,0.00013834,0.00013834,0.00013834
29,1922.32,0.70249,0.41982,0.94223,0.82429,0.77769,0.84375,0.65028,0.87275,0.82162,0.99764,0.000128019,0.000128019,0.000128019
30,1988.59,0.68828,0.40417,0.94246,0.83296,0.77062,0.84295,0.64736,0.87082,0.84618,1.00164,0.000117698,0.000117698,0.000117698
31,2054.86,0.66259,0.36327,0.92869,0.82103,0.77763,0.83999,0.64759,0.86729,0.83386,0.99632,0.000107378,0.000107378,0.000107378
32,2120.37,0.64447,0.34425,0.91773,0.8096,0.76727,0.83792,0.64876,0.87076,0.91325,0.9976,9.70567e-05,9.70567e-05,9.70567e-05
33,2185.89,0.63881,0.34619,0.9181,0.8017,0.7917,0.83673,0.64668,0.86983,0.87244,0.99859,8.6736e-05,8.6736e-05,8.6736e-05
34,2251.38,0.63207,0.33797,0.91688,0.81602,0.79226,0.85047,0.65729,0.86924,0.84366,0.99951,7.64153e-05,7.64153e-05,7.64153e-05
35,2316.9,0.62237,0.32463,0.91184,0.81145,0.78242,0.83883,0.65055,0.85764,0.91007,0.99658,6.60945e-05,6.60945e-05,6.60945e-05
36,2382.39,0.61371,0.3208,0.91171,0.826,0.78201,0.84442,0.65325,0.86858,0.87311,1.00473,5.57738e-05,5.57738e-05,5.57738e-05
