epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,441.644,1.79416,2.17938,1.17855,0.4917,0.6033,0.54533,0.24454,1.69854,1.52848,1.13874,0.000222102,0.000222102,0.000222102
2,842.944,1.60514,1.68579,1.10893,0.59404,0.58787,0.61826,0.31673,1.57162,1.38169,1.06718,0.000440035,0.000440035,0.000440035
3,1242.79,1.55911,1.58929,1.09087,0.63631,0.65692,0.69313,0.35421,1.50811,1.24581,1.05611,0.000653566,0.000653566,0.000653566
4,1642.19,1.5264,1.50224,1.08055,0.70447,0.69695,0.76532,0.41981,1.39596,1.12716,0.99667,0.00064719,0.00064719,0.00064719
5,2041.65,1.47603,1.43697,1.06376,0.76264,0.73708,0.83316,0.47369,1.34351,1.05938,0.97139,0.000640587,0.000640587,0.000640587
6,2440.83,1.45805,1.36091,1.05154,0.77429,0.74768,0.83877,0.49586,1.27991,1.00762,0.95485,0.000633983,0.000633983,0.000633983
7,2840.01,1.42129,1.2994,1.04125,0.81142,0.74455,0.83485,0.49443,1.26679,0.99035,0.94835,0.00062738,0.00062738,0.00062738
8,3239.04,1.39966,1.25543,1.02279,0.80752,0.75362,0.85044,0.50918,1.2609,0.95807,0.93598,0.000620777,0.000620777,0.000620777
9,3638.32,1.38369,1.22702,1.01839,0.83411,0.77706,0.86036,0.52788,1.22303,0.88926,0.92847,0.000614174,0.000614174,0.000614174
10,4037.73,1.36201,1.1852,1.00731,0.83069,0.78757,0.86905,0.52704,1.28008,0.87196,0.95088,0.00060757,0.00060757,0.00060757
11,4436.88,1.33457,1.14204,1.00357,0.83585,0.79078,0.87471,0.55657,1.18367,0.82538,0.9229,0.000600967,0.000600967,0.000600967
12,4836.05,1.31469,1.12111,0.99346,0.8155,0.79508,0.86129,0.54041,1.20148,0.85079,0.93114,0.000594364,0.000594364,0.000594364
13,5235.12,1.31641,1.10353,0.99249,0.83943,0.8056,0.8665,0.52926,1.26473,0.8284,0.93191,0.00058776,0.00058776,0.00058776
14,5634.44,1.28325,1.05288,0.97826,0.87797,0.82943,0.90318,0.59445,1.10674,0.73691,0.89928,0.000581157,0.000581157,0.000581157
15,6033.76,1.26585,1.04218,0.97779,0.89244,0.8448,0.92192,0.62326,1.04435,0.70976,0.88232,0.000574554,0.000574554,0.000574554
16,6432.86,1.26098,1.03114,0.97493,0.88726,0.84245,0.90938,0.61264,1.06689,0.69191,0.88881,0.00056795,0.00056795,0.00056795
17,6831.79,1.24896,1.00575,0.97351,0.89708,0.85395,0.93119,0.62736,1.05607,0.68182,0.88093,0.000561347,0.000561347,0.000561347
18,7230.96,1.24018,0.9829,0.97006,0.91246,0.86645,0.93319,0.6329,1.02817,0.65246,0.8765,0.000554744,0.000554744,0.000554744
19,7629.98,1.24084,0.98947,0.96749,0.89674,0.85383,0.9299,0.64358,1.01269,0.65684,0.8781,0.000548141,0.000548141,0.000548141
20,8029.25,1.2374,0.97385,0.96538,0.90914,0.86846,0.93544,0.65492,0.99085,0.62275,0.86724,0.000541537,0.000541537,0.000541537
21,8427.99,1.21113,0.94736,0.96165,0.90218,0.85418,0.93174,0.64082,1.01507,0.6561,0.87022,0.000534934,0.000534934,0.000534934
22,8826.85,1.21348,0.94244,0.95938,0.91685,0.87112,0.93958,0.6505,1.02038,0.63855,0.88083,0.000528331,0.000528331,0.000528331
23,9226.12,1.19821,0.92185,0.95174,0.9144,0.85788,0.93145,0.65688,0.99695,0.65985,0.87054,0.000521727,0.000521727,0.000521727
24,9626.14,1.19405,0.91849,0.9525,0.91388,0.87611,0.93844,0.66239,0.982,0.60728,0.867,0.000515124,0.000515124,0.000515124
25,10025.3,1.17614,0.89342,0.94657,0.91641,0.87424,0.9348,0.66149,0.99039,0.59127,0.87187,0.000508521,0.000508521,0.000508521
26,10424,1.16725,0.88677,0.94805,0.9263,0.8849,0.94978,0.67536,0.96324,0.57794,0.86175,0.000501917,0.000501917,0.000501917
27,10823.1,1.1666,0.87824,0.94936,0.91345,0.86456,0.93859,0.66612,0.97468,0.60572,0.86824,0.000495314,0.000495314,0.000495314
28,11221.6,1.15477,0.87647,0.94664,0.93052,0.89139,0.95537,0.67762,0.95033,0.57598,0.85651,0.000488711,0.000488711,0.000488711
29,11620.5,1.16247,0.86155,0.94516,0.92238,0.89093,0.94509,0.68759,0.91916,0.55923,0.85511,0.000482108,0.000482108,0.000482108
