epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4494,1.35273,2.83161,1.27482,0.62971,0.60377,0.66522,0.48094,1.02835,1.57755,1.08219,0.000327684,0.000327684,0.000327684
2,60.4119,1.06747,1.25866,1.07171,0.69229,0.75557,0.77895,0.57715,0.92188,1.07708,1.02432,0.000654473,0.000654473,0.000654473
3,91.8511,1.06114,1.0857,1.05969,0.73788,0.7545,0.82852,0.61659,0.92771,1.0731,1.05117,0.000974662,0.000974662,0.000974662
4,120.824,1.02865,1.00981,1.05725,0.80528,0.73193,0.83275,0.62243,0.92137,0.96084,1.03626,0.0009703,0.0009703,0.0009703
5,149.768,0.98171,0.86776,1.02982,0.89673,0.87968,0.94361,0.73504,0.81832,0.63136,0.96743,0.0009604,0.0009604,0.0009604
6,178.726,0.94637,0.85019,1.01699,0.81906,0.83648,0.92253,0.69225,0.86175,0.74477,0.99126,0.0009505,0.0009505,0.0009505
7,207.591,0.94296,0.7717,1.01609,0.89769,0.86095,0.941,0.73316,0.82382,0.64948,0.97776,0.0009406,0.0009406,0.0009406
8,236.497,0.9376,0.751,1.01117,0.87212,0.87841,0.94011,0.74261,0.7686,0.61733,0.95507,0.0009307,0.0009307,0.0009307
9,265.418,0.91738,0.73032,1.01249,0.91657,0.8746,0.94263,0.72778,0.84515,0.60908,0.98474,0.0009208,0.0009208,0.0009208
10,294.341,0.88657,0.69771,1.0002,0.91893,0.91562,0.96455,0.77412,0.74658,0.55679,0.94361,0.0009109,0.0009109,0.0009109
11,323.315,0.89672,0.67161,0.99667,0.89015,0.87213,0.93758,0.73727,0.81003,0.60841,0.96421,0.000901,0.000901,0.000901
12,352.187,0.85908,0.64661,0.97958,0.91594,0.90778,0.96337,0.76977,0.75051,0.51931,0.94538,0.0008911,0.0008911,0.0008911
13,381.031,0.84479,0.61368,0.97915,0.90522,0.8834,0.9363,0.74424,0.76066,0.59044,0.95309,0.0008812,0.0008812,0.0008812
14,409.904,0.86026,0.61675,0.98279,0.93892,0.90128,0.95473,0.76205,0.76208,0.50735,0.95161,0.0008713,0.0008713,0.0008713
15,438.819,0.87436,0.61758,0.98377,0.94458,0.91345,0.96534,0.78692,0.7212,0.47926,0.93362,0.0008614,0.0008614,0.0008614
16,467.757,0.83082,0.59553,0.96676,0.94726,0.9068,0.96545,0.78317,0.73426,0.47298,0.93978,0.0008515,0.0008515,0.0008515
17,496.633,0.82094,0.58908,0.96393,0.94212,0.93667,0.97658,0.79573,0.72194,0.44321,0.93761,0.0008416,0.0008416,0.0008416
18,525.604,0.80274,0.55457,0.95329,0.93975,0.92932,0.96995,0.78082,0.73791,0.46181,0.93755,0.0008317,0.0008317,0.0008317
19,554.474,0.80943,0.56017,0.96301,0.90697,0.91286,0.94859,0.77123,0.72591,0.56522,0.93394,0.0008218,0.0008218,0.0008218
20,583.41,0.80056,0.5523,0.9622,0.95391,0.93339,0.97442,0.79653,0.71728,0.44387,0.93684,0.0008119,0.0008119,0.0008119
21,612.319,0.78622,0.522,0.95487,0.91405,0.91981,0.96922,0.79597,0.71775,0.52463,0.92789,0.000802,0.000802,0.000802
22,641.165,0.78441,0.54366,0.94922,0.95469,0.943,0.97885,0.81166,0.6954,0.42381,0.91686,0.0007921,0.0007921,0.0007921
23,670.151,0.79453,0.52119,0.95214,0.96253,0.94373,0.97298,0.80618,0.68855,0.40888,0.91702,0.0007822,0.0007822,0.0007822
24,698.974,0.77072,0.50848,0.94927,0.94482,0.95705,0.9734,0.80686,0.68787,0.40477,0.9169,0.0007723,0.0007723,0.0007723
25,727.833,0.76213,0.5032,0.94178,0.9558,0.93792,0.9723,0.80392,0.68771,0.42832,0.91518,0.0007624,0.0007624,0.0007624
26,756.754,0.76199,0.49407,0.94092,0.95917,0.95456,0.97806,0.8122,0.67014,0.40442,0.91105,0.0007525,0.0007525,0.0007525
27,785.701,0.7438,0.50182,0.93574,0.95431,0.93782,0.97079,0.80582,0.67806,0.41818,0.91618,0.0007426,0.0007426,0.0007426
28,814.59,0.76985,0.505,0.94457,0.95931,0.93754,0.97606,0.80713,0.70072,0.42903,0.92665,0.0007327,0.0007327,0.0007327
29,843.387,0.74757,0.4944,0.94285,0.95557,0.94769,0.98046,0.80866,0.69806,0.41509,0.92967,0.0007228,0.0007228,0.0007228
30,872.194,0.74091,0.47216,0.93861,0.95353,0.92981,0.96893,0.80539,0.68218,0.4244,0.90805,0.0007129,0.0007129,0.0007129
31,901.062,0.74213,0.46906,0.92936,0.96575,0.95864,0.98772,0.8208,0.68125,0.36699,0.91523,0.000703,0.000703,0.000703
32,930.017,0.73956,0.46263,0.93051,0.96705,0.95753,0.98584,0.80878,0.69829,0.38533,0.92743,0.0006931,0.0006931,0.0006931
33,958.819,0.7298,0.46289,0.93019,0.97529,0.95928,0.98213,0.81069,0.68625,0.36648,0.92102,0.0006832,0.0006832,0.0006832
34,987.608,0.72229,0.45232,0.93071,0.95761,0.95719,0.98343,0.81587,0.68188,0.38526,0.91418,0.0006733,0.0006733,0.0006733
35,1016.4,0.72106,0.44909,0.92411,0.96687,0.95396,0.98232,0.82198,0.65549,0.37441,0.91139,0.0006634,0.0006634,0.0006634
36,1045.27,0.70727,0.43919,0.91779,0.96366,0.95659,0.97579,0.82002,0.6564,0.37476,0.9047,0.0006535,0.0006535,0.0006535
37,1074.06,0.71418,0.43783,0.92542,0.96735,0.94413,0.97246,0.79967,0.69949,0.39073,0.92184,0.0006436,0.0006436,0.0006436
38,1102.93,0.70928,0.43733,0.92359,0.97612,0.96055,0.98333,0.83253,0.6548,0.36501,0.90227,0.0006337,0.0006337,0.0006337
39,1131.87,0.69091,0.42688,0.9111,0.9643,0.95072,0.97735,0.82082,0.66618,0.38091,0.90625,0.0006238,0.0006238,0.0006238
40,1160.71,0.698,0.42127,0.91718,0.97047,0.95537,0.98316,0.82268,0.65723,0.36783,0.90279,0.0006139,0.0006139,0.0006139
41,1189.53,0.68429,0.4264,0.91405,0.96519,0.95914,0.97702,0.81666,0.66818,0.37418,0.91042,0.000604,0.000604,0.000604
42,1218.38,0.6849,0.41662,0.91415,0.9587,0.94734,0.97436,0.82323,0.64666,0.38335,0.89913,0.0005941,0.0005941,0.0005941
43,1247.28,0.67151,0.4153,0.90586,0.97674,0.96019,0.98211,0.82794,0.65808,0.36022,0.8994,0.0005842,0.0005842,0.0005842
44,1276.21,0.68134,0.4196,0.91018,0.95975,0.95244,0.97945,0.8272,0.6728,0.38749,0.91191,0.0005743,0.0005743,0.0005743
45,1305.05,0.67317,0.41589,0.91539,0.96348,0.9579,0.98058,0.82534,0.65739,0.37937,0.90332,0.0005644,0.0005644,0.0005644
46,1333.93,0.67629,0.40637,0.90727,0.97121,0.95727,0.98104,0.8214,0.66907,0.36166,0.90467,0.0005545,0.0005545,0.0005545
47,1362.79,0.66703,0.3953,0.90762,0.96454,0.96453,0.97979,0.82629,0.65643,0.36605,0.90156,0.0005446,0.0005446,0.0005446
48,1391.63,0.66558,0.40804,0.90874,0.98015,0.96845,0.98353,0.82765,0.65886,0.34649,0.89908,0.0005347,0.0005347,0.0005347
49,1420.52,0.65663,0.40076,0.9061,0.97637,0.9657,0.9786,0.8229,0.65269,0.35893,0.89865,0.0005248,0.0005248,0.0005248
50,1449.41,0.64734,0.39466,0.89623,0.97724,0.96383,0.98461,0.83268,0.65311,0.34444,0.89792,0.0005149,0.0005149,0.0005149
51,1478.37,0.64787,0.38118,0.89636,0.95864,0.95613,0.97633,0.82966,0.64141,0.37416,0.89308,0.000505,0.000505,0.000505
52,1507.23,0.65904,0.39142,0.90449,0.97334,0.96626,0.98465,0.8359,0.64271,0.33208,0.88987,0.0004951,0.0004951,0.0004951
53,1536.21,0.63756,0.38297,0.89308,0.97423,0.9629,0.97586,0.83201,0.6258,0.34082,0.88987,0.0004852,0.0004852,0.0004852
54,1565.02,0.63617,0.38313,0.89509,0.9717,0.96108,0.9859,0.82859,0.65665,0.35143,0.89497,0.0004753,0.0004753,0.0004753
55,1593.86,0.64151,0.38554,0.90178,0.97991,0.96286,0.98753,0.83609,0.64226,0.33065,0.89047,0.0004654,0.0004654,0.0004654
56,1622.79,0.63751,0.37563,0.89439,0.97537,0.95612,0.98626,0.83621,0.63107,0.33164,0.88502,0.0004555,0.0004555,0.0004555
57,1651.62,0.61829,0.37141,0.89147,0.97521,0.96103,0.98275,0.83866,0.63141,0.3398,0.89213,0.0004456,0.0004456,0.0004456
58,1680.55,0.62846,0.37913,0.89618,0.97994,0.9704,0.98756,0.84184,0.63421,0.32955,0.89051,0.0004357,0.0004357,0.0004357
59,1709.5,0.6179,0.35999,0.8892,0.97553,0.96561,0.98082,0.8423,0.61971,0.31695,0.88393,0.0004258,0.0004258,0.0004258
60,1738.38,0.61671,0.35726,0.88957,0.97316,0.96846,0.9842,0.8381,0.62801,0.32529,0.89027,0.0004159,0.0004159,0.0004159
61,1767.22,0.61338,0.36263,0.89125,0.96667,0.9653,0.98068,0.83697,0.63849,0.33721,0.89206,0.000406,0.000406,0.000406
