epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,416.046,1.74651,2.18103,1.20487,0.44907,0.63417,0.48858,0.20212,1.70485,1.61555,1.27256,0.00025606,0.00025606,0.00025606
2,825.889,1.566,1.65509,1.13137,0.52818,0.66159,0.60601,0.27894,1.61476,1.40934,1.20015,0.000508166,0.000508166,0.000508166
3,1234.9,1.50876,1.58184,1.12835,0.59239,0.68118,0.70517,0.36423,1.4854,1.32434,1.14191,0.000756043,0.000756043,0.000756043
4,1643.4,1.47204,1.47153,1.09949,0.65949,0.75472,0.7635,0.3825,1.45972,1.17938,1.11271,0.000749967,0.000749967,0.000749967
5,2053.88,1.44727,1.42721,1.09487,0.78099,0.79552,0.86255,0.49714,1.28288,1.03924,1.04038,0.000743623,0.000743623,0.000743623
6,2462.94,1.41855,1.36301,1.0869,0.75841,0.76951,0.8157,0.44523,1.36224,1.06631,1.04653,0.000737279,0.000737279,0.000737279
7,2871.91,1.40917,1.31596,1.06809,0.81814,0.81191,0.85406,0.4931,1.33478,1.00641,1.04233,0.000730935,0.000730935,0.000730935
8,3279.89,1.35985,1.2614,1.0564,0.83629,0.816,0.87211,0.50427,1.33849,0.95351,1.04321,0.00072459,0.00072459,0.00072459
9,3688.69,1.34522,1.21509,1.046,0.73477,0.80824,0.82419,0.47634,1.34367,0.98772,1.0292,0.000718246,0.000718246,0.000718246
10,4096.93,1.32727,1.17954,1.03768,0.87214,0.85531,0.91882,0.5606,1.25494,0.84243,0.99931,0.000711902,0.000711902,0.000711902
11,4505.2,1.28216,1.13114,1.02534,0.84012,0.83914,0.90135,0.5739,1.1967,0.81756,0.97201,0.000705558,0.000705558,0.000705558
12,4913.54,1.28941,1.10677,1.02329,0.87188,0.85934,0.92405,0.57632,1.24575,0.79418,0.9871,0.000699213,0.000699213,0.000699213
13,5321.72,1.25847,1.06912,1.01553,0.87281,0.85876,0.90542,0.58253,1.15793,0.7618,0.95821,0.000692869,0.000692869,0.000692869
14,5730.39,1.23436,1.04523,1.00577,0.85699,0.86752,0.90851,0.55985,1.31768,0.77939,1.00958,0.000686525,0.000686525,0.000686525
15,6139.19,1.22775,1.01325,1.0005,0.85689,0.85501,0.8951,0.597,1.13841,0.73291,0.94417,0.000680181,0.000680181,0.000680181
16,6548.56,1.23377,1.02677,1.00533,0.88121,0.86397,0.91592,0.62257,1.09144,0.73868,0.93053,0.000673836,0.000673836,0.000673836
17,6957.46,1.21474,1.00068,0.99954,0.87333,0.8723,0.90833,0.59552,1.17213,0.71725,0.95531,0.000667492,0.000667492,0.000667492
18,7366.26,1.18504,0.97225,0.99268,0.88972,0.88616,0.93793,0.59968,1.21286,0.7229,0.9789,0.000661148,0.000661148,0.000661148
19,7774.97,1.19336,0.96425,0.98575,0.89823,0.89205,0.93565,0.62201,1.14216,0.67629,0.94665,0.000654804,0.000654804,0.000654804
20,8183.45,1.17326,0.94551,0.98491,0.92093,0.89344,0.94816,0.67097,1.0056,0.67334,0.91063,0.000648459,0.000648459,0.000648459
21,8591.8,1.1651,0.9282,0.97969,0.91618,0.90527,0.94903,0.66057,1.03888,0.61893,0.91705,0.000642115,0.000642115,0.000642115
22,8999.81,1.16432,0.92384,0.97885,0.91958,0.89642,0.95457,0.67833,0.99938,0.62703,0.9093,0.000635771,0.000635771,0.000635771
23,9411.53,1.14111,0.9109,0.97722,0.91068,0.89428,0.94659,0.6612,1.06522,0.63344,0.92895,0.000629427,0.000629427,0.000629427
24,9819.6,1.13619,0.89079,0.97137,0.92459,0.90354,0.94827,0.65044,1.10285,0.62139,0.93888,0.000623082,0.000623082,0.000623082
25,10228.4,1.13892,0.88896,0.96927,0.92288,0.91043,0.94935,0.66479,1.06099,0.60539,0.91987,0.000616738,0.000616738,0.000616738
26,10636.3,1.11559,0.88491,0.96518,0.91749,0.91131,0.94887,0.63807,1.15435,0.60628,0.9574,0.000610394,0.000610394,0.000610394
27,11044.4,1.12828,0.8722,0.9661,0.93106,0.91438,0.95758,0.67627,1.04087,0.58424,0.91792,0.00060405,0.00060405,0.00060405
28,11452.8,1.11486,0.85864,0.96059,0.94303,0.92491,0.96202,0.63938,1.19538,0.59971,0.96658,0.000597705,0.000597705,0.000597705
29,11861,1.10266,0.85391,0.95558,0.93191,0.91502,0.95309,0.66403,1.09274,0.58104,0.9304,0.000591361,0.000591361,0.000591361
30,12269.1,1.10777,0.84809,0.95757,0.94101,0.92286,0.96289,0.7187,0.91166,0.54877,0.88426,0.000585017,0.000585017,0.000585017
31,12677.4,1.09099,0.83161,0.95431,0.92777,0.91469,0.94905,0.67094,1.03525,0.57619,0.91712,0.000578672,0.000578672,0.000578672
32,13087.1,1.07926,0.8164,0.95095,0.94599,0.92516,0.96443,0.6836,1.04894,0.55029,0.91958,0.000572328,0.000572328,0.000572328
33,13495.1,1.08299,0.82129,0.94855,0.93729,0.9226,0.95893,0.7022,0.95041,0.53487,0.89317,0.000565984,0.000565984,0.000565984
34,13904.1,1.07535,0.80491,0.9486,0.93846,0.92331,0.95779,0.69152,1.00025,0.53896,0.89601,0.00055964,0.00055964,0.00055964
35,14312.3,1.06993,0.79833,0.94486,0.94864,0.93186,0.96306,0.70399,0.96539,0.52492,0.89283,0.000553296,0.000553296,0.000553296
36,14720.6,1.0774,0.79228,0.95463,0.9363,0.92385,0.96038,0.67415,1.06808,0.56148,0.9234,0.000546951,0.000546951,0.000546951
37,15128.8,1.05764,0.7884,0.94286,0.94168,0.92377,0.96284,0.70292,0.99189,0.53489,0.9003,0.000540607,0.000540607,0.000540607
38,15537,1.04872,0.77754,0.94389,0.94945,0.92966,0.96828,0.71839,0.92914,0.52012,0.88269,0.000534263,0.000534263,0.000534263
39,15945.4,1.0585,0.78932,0.94517,0.9562,0.93862,0.97108,0.72496,0.9168,0.4968,0.88069,0.000527919,0.000527919,0.000527919
40,16354.1,1.05449,0.77099,0.94102,0.94698,0.9339,0.96378,0.67622,1.07648,0.5311,0.92195,0.000521574,0.000521574,0.000521574
41,16762.7,1.04878,0.75907,0.93435,0.94502,0.93324,0.96708,0.70803,0.95237,0.51529,0.89779,0.00051523,0.00051523,0.00051523
42,17170.7,1.03962,0.76023,0.93772,0.95036,0.93248,0.96884,0.72439,0.92455,0.50341,0.88816,0.000508886,0.000508886,0.000508886
43,17579.5,1.03074,0.75443,0.93766,0.94378,0.92929,0.96196,0.70616,0.98018,0.51335,0.89472,0.000502541,0.000502541,0.000502541
44,17987.5,1.03513,0.76035,0.9368,0.94442,0.92974,0.96343,0.69862,1.01275,0.52471,0.90352,0.000496197,0.000496197,0.000496197
45,18395.8,1.04204,0.74631,0.93323,0.94733,0.93572,0.96713,0.70848,0.99611,0.50506,0.89589,0.000489853,0.000489853,0.000489853
46,18804,1.02436,0.74159,0.93216,0.95021,0.9351,0.96839,0.69767,1.04073,0.51317,0.91243,0.000483509,0.000483509,0.000483509
47,19213.2,1.01676,0.73667,0.93308,0.9533,0.93835,0.97138,0.72382,0.95431,0.48837,0.88489,0.000477165,0.000477165,0.000477165
48,19622.5,1.00515,0.71784,0.924,0.9597,0.94372,0.97365,0.74808,0.86666,0.46083,0.86671,0.00047082,0.00047082,0.00047082
49,20030.7,1.00603,0.71491,0.93072,0.95742,0.9459,0.97369,0.75543,0.82533,0.45432,0.86029,0.000464476,0.000464476,0.000464476
50,20439.4,1.00643,0.7292,0.92781,0.95156,0.9416,0.96842,0.70627,1.01807,0.50086,0.89862,0.000458132,0.000458132,0.000458132
51,20849.1,1.03054,0.72645,0.92975,0.95927,0.95012,0.97653,0.74632,0.88734,0.46373,0.87284,0.000451787,0.000451787,0.000451787
52,21258,1.00693,0.71746,0.92652,0.96604,0.95102,0.97746,0.7652,0.81481,0.44072,0.85638,0.000445443,0.000445443,0.000445443
53,21666.8,0.99519,0.70448,0.92163,0.95593,0.9457,0.97189,0.72138,0.96752,0.47411,0.89281,0.000439099,0.000439099,0.000439099
54,22074.7,0.99014,0.6983,0.9189,0.95784,0.94401,0.97525,0.74342,0.90265,0.47133,0.87409,0.000432755,0.000432755,0.000432755
55,22482.8,0.99185,0.7041,0.92213,0.95864,0.94613,0.97334,0.73776,0.90488,0.4696,0.87517,0.000426411,0.000426411,0.000426411
56,22890.9,1.0026,0.71152,0.92745,0.96708,0.95312,0.97873,0.76104,0.8468,0.44779,0.86569,0.000420066,0.000420066,0.000420066
57,23299.9,0.99524,0.70164,0.92017,0.96037,0.94611,0.97212,0.72489,0.96686,0.4693,0.88911,0.000413722,0.000413722,0.000413722
58,23708.1,0.97163,0.68302,0.92007,0.96658,0.95551,0.97854,0.78036,0.7728,0.42574,0.84871,0.000407378,0.000407378,0.000407378
59,24117.6,0.98465,0.68497,0.9175,0.9641,0.95043,0.9778,0.75931,0.86221,0.44311,0.86215,0.000401033,0.000401033,0.000401033
60,24525.7,0.97262,0.67837,0.91495,0.9644,0.95125,0.97761,0.74031,0.9188,0.45314,0.87692,0.000394689,0.000394689,0.000394689
61,24933.7,0.9695,0.67237,0.91643,0.96596,0.95687,0.97667,0.73683,0.9372,0.44933,0.88275,0.000388345,0.000388345,0.000388345
62,25341.5,0.97041,0.67052,0.91486,0.96291,0.95116,0.97493,0.7478,0.89136,0.44565,0.87269,0.000382001,0.000382001,0.000382001
63,25750.9,0.95725,0.66925,0.91504,0.96052,0.95148,0.97679,0.74837,0.89368,0.44432,0.87439,0.000375656,0.000375656,0.000375656
64,26159.8,0.96011,0.66789,0.9109,0.96778,0.95565,0.97892,0.763,0.85364,0.42789,0.86415,0.000369312,0.000369312,0.000369312
65,26567.8,0.95653,0.66662,0.91024,0.96774,0.95574,0.97816,0.75722,0.86671,0.43347,0.86706,0.000362968,0.000362968,0.000362968
66,26975.7,0.95018,0.65749,0.91188,0.96803,0.95447,0.97826,0.78609,0.76879,0.41321,0.84781,0.000356624,0.000356624,0.000356624
