epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.085,2.01535,3.08446,1.08295,0.30144,0.49669,0.34883,0.16895,1.71447,1.93896,1.01821,0.00332362,0.00332362,0.00332362
2,287.364,1.75331,2.15099,1.01299,0.38589,0.55933,0.44709,0.22955,1.67775,1.74832,1.00389,0.006624,0.006624,0.006624
3,428.511,1.69791,1.94591,1.00082,0.50668,0.59827,0.58585,0.32134,1.56895,1.45212,0.97984,0.00989138,0.00989138,0.00989138
4,569.252,1.62927,1.75279,0.98137,0.49144,0.5557,0.54762,0.28594,1.6073,1.62162,0.97086,0.0098515,0.0098515,0.0098515
5,709.721,1.54187,1.56646,0.95799,0.62798,0.6484,0.68784,0.38425,1.508,1.36004,0.95037,0.009802,0.009802,0.009802
6,850.178,1.47616,1.42379,0.94198,0.58586,0.64364,0.68003,0.42822,1.3376,1.32494,0.91576,0.0097525,0.0097525,0.0097525
7,990.793,1.42795,1.30822,0.92889,0.69736,0.72383,0.77135,0.49005,1.29051,1.10344,0.90423,0.009703,0.009703,0.009703
8,1131.13,1.39675,1.23436,0.91962,0.73,0.73055,0.79096,0.52411,1.24848,1.02395,0.89141,0.0096535,0.0096535,0.0096535
9,1271.4,1.36587,1.1591,0.91354,0.74335,0.73354,0.80602,0.52608,1.2516,1.01661,0.89284,0.009604,0.009604,0.009604
10,1412.09,1.33887,1.11024,0.90931,0.7566,0.7594,0.82111,0.53395,1.2389,0.9806,0.88907,0.0095545,0.0095545,0.0095545
11,1552.55,1.30896,1.05587,0.90353,0.79975,0.76293,0.84635,0.5708,1.17211,0.89895,0.87965,0.009505,0.009505,0.009505
12,1694.78,1.28257,1.00673,0.89864,0.8332,0.79318,0.87697,0.60294,1.1371,0.83645,0.87066,0.0094555,0.0094555,0.0094555
13,1835.32,1.27753,0.99014,0.89551,0.81259,0.80306,0.87687,0.58627,1.16998,0.8578,0.87527,0.009406,0.009406,0.009406
14,1975.59,1.24601,0.95042,0.89096,0.70932,0.73373,0.79487,0.47813,1.32166,1.07319,0.91382,0.0093565,0.0093565,0.0093565
15,2115.71,1.24071,0.92342,0.88942,0.85425,0.80931,0.89547,0.62816,1.0825,0.77827,0.86215,0.009307,0.009307,0.009307
16,2255.95,1.20746,0.89799,0.88479,0.85724,0.81757,0.90255,0.60961,1.14139,0.78843,0.87204,0.0092575,0.0092575,0.0092575
17,2398.3,1.19551,0.87005,0.88255,0.8628,0.82659,0.90855,0.64715,1.05737,0.73243,0.85858,0.009208,0.009208,0.009208
18,2538.62,1.18419,0.85095,0.87881,0.87427,0.84817,0.92296,0.65323,1.05915,0.71407,0.85789,0.0091585,0.0091585,0.0091585
19,2678.75,1.1641,0.82367,0.87693,0.87998,0.83105,0.9224,0.65553,1.041,0.71903,0.85454,0.009109,0.009109,0.009109
20,2819.22,1.15373,0.80542,0.87302,0.89157,0.86022,0.93084,0.67474,1.01281,0.66342,0.84825,0.0090595,0.0090595,0.0090595
21,2959.32,1.13268,0.78243,0.87178,0.86922,0.84068,0.91781,0.664,1.02818,0.70679,0.85397,0.00901,0.00901,0.00901
22,3099.44,1.13356,0.78303,0.87129,0.9045,0.8599,0.93348,0.67969,1.00199,0.64862,0.84665,0.0089605,0.0089605,0.0089605
23,3244.28,1.11322,0.76102,0.86829,0.90427,0.87404,0.94068,0.68787,0.99049,0.62773,0.84406,0.008911,0.008911,0.008911
24,3384.42,1.10241,0.7409,0.86534,0.90961,0.88754,0.94926,0.7055,0.95971,0.59545,0.83918,0.0088615,0.0088615,0.0088615
25,3525.96,1.08099,0.72021,0.86402,0.8648,0.84822,0.92085,0.62592,1.13564,0.72856,0.87938,0.008812,0.008812,0.008812
26,3666.09,1.07647,0.71989,0.86105,0.9067,0.86624,0.94416,0.68904,0.98509,0.62155,0.84349,0.0087625,0.0087625,0.0087625
27,3806.2,1.06401,0.69943,0.85892,0.91128,0.89191,0.95177,0.71386,0.92824,0.57615,0.83383,0.008713,0.008713,0.008713
28,3946.75,1.06358,0.69719,0.85816,0.90459,0.87962,0.94844,0.69259,0.99114,0.60994,0.84343,0.0086635,0.0086635,0.0086635
29,4086.74,1.05351,0.6878,0.85534,0.93355,0.89245,0.95848,0.72591,0.91114,0.55957,0.83081,0.008614,0.008614,0.008614
30,4226.83,1.03844,0.6721,0.85451,0.92288,0.89066,0.95496,0.72142,0.91978,0.57363,0.83335,0.0085645,0.0085645,0.0085645
31,4366.91,1.02387,0.66003,0.85279,0.94008,0.907,0.96456,0.73395,0.90049,0.53841,0.83045,0.008515,0.008515,0.008515
32,4507.13,1.02361,0.65939,0.8527,0.91245,0.88142,0.94834,0.70226,0.96587,0.6117,0.84231,0.0084655,0.0084655,0.0084655
33,4647.39,1.0196,0.65139,0.85176,0.93179,0.905,0.96517,0.7374,0.89568,0.5302,0.8287,0.008416,0.008416,0.008416
34,4788.81,1.00231,0.63767,0.84935,0.93949,0.9149,0.96698,0.74086,0.87479,0.51849,0.82588,0.0083665,0.0083665,0.0083665
35,4930.31,1.00455,0.63707,0.84892,0.93804,0.90932,0.96502,0.74217,0.8778,0.52246,0.82648,0.008317,0.008317,0.008317
36,5070.39,0.98826,0.6252,0.84716,0.94383,0.91134,0.9696,0.74278,0.88407,0.51736,0.82753,0.0082675,0.0082675,0.0082675
37,5210.4,0.98299,0.61673,0.84531,0.94062,0.91442,0.97026,0.74723,0.87751,0.51429,0.82666,0.008218,0.008218,0.008218
38,5350.54,0.97762,0.61023,0.84393,0.92604,0.9116,0.96606,0.73715,0.88742,0.52676,0.82865,0.0081685,0.0081685,0.0081685
39,5490.65,0.96986,0.60895,0.84468,0.93791,0.90967,0.96703,0.7466,0.86885,0.51532,0.82705,0.008119,0.008119,0.008119
40,5630.96,0.96533,0.60223,0.84364,0.94354,0.92393,0.97181,0.76233,0.82184,0.48579,0.81767,0.0080695,0.0080695,0.0080695
41,5771.26,0.95754,0.59342,0.84235,0.9389,0.92257,0.97169,0.76349,0.8192,0.48496,0.81857,0.00802,0.00802,0.00802
42,5911.39,0.94474,0.58267,0.84009,0.94355,0.92059,0.97121,0.7573,0.84275,0.48667,0.82167,0.0079705,0.0079705,0.0079705
43,6051.53,0.94912,0.58308,0.84157,0.95082,0.92487,0.97345,0.77102,0.80584,0.47249,0.81596,0.007921,0.007921,0.007921
44,6191.53,0.93516,0.57893,0.83899,0.94942,0.9289,0.97536,0.77288,0.80423,0.46543,0.81627,0.0078715,0.0078715,0.0078715
45,6334.55,0.92983,0.5692,0.83779,0.94633,0.92799,0.97529,0.76973,0.80745,0.46961,0.81876,0.007822,0.007822,0.007822
46,6477.04,0.93371,0.57307,0.83952,0.94023,0.92604,0.97318,0.76473,0.82491,0.48027,0.82063,0.0077725,0.0077725,0.0077725
47,6618.47,0.9214,0.56874,0.83575,0.94506,0.93393,0.97738,0.77094,0.81112,0.46667,0.81719,0.007723,0.007723,0.007723
48,6758.61,0.91927,0.56077,0.83413,0.95009,0.93442,0.97755,0.78256,0.77409,0.44729,0.81179,0.0076735,0.0076735,0.0076735
49,6900.54,0.90309,0.55336,0.83428,0.95301,0.93181,0.97658,0.7828,0.7747,0.45093,0.81248,0.007624,0.007624,0.007624
50,7041.86,0.90095,0.54976,0.8353,0.95141,0.94117,0.97905,0.78663,0.76902,0.43893,0.8111,0.0075745,0.0075745,0.0075745
51,7183.76,0.89957,0.54568,0.83311,0.95496,0.93641,0.9796,0.78237,0.77301,0.44066,0.81221,0.007525,0.007525,0.007525
52,7325.25,0.90229,0.54531,0.83162,0.95598,0.93373,0.97912,0.78036,0.77749,0.44455,0.81388,0.0074755,0.0074755,0.0074755
53,7465.62,0.89452,0.5481,0.83311,0.96001,0.93597,0.97897,0.78772,0.76262,0.43604,0.81142,0.007426,0.007426,0.007426
54,7605.47,0.88474,0.53825,0.83121,0.95332,0.94279,0.9801,0.7887,0.76392,0.43297,0.81095,0.0073765,0.0073765,0.0073765
55,7745.39,0.88071,0.53481,0.83196,0.95184,0.93218,0.9791,0.78421,0.77357,0.44115,0.81225,0.007327,0.007327,0.007327
56,7886.64,0.87903,0.53219,0.83195,0.95318,0.94376,0.98036,0.78923,0.75874,0.43044,0.80976,0.0072775,0.0072775,0.0072775
57,8026.82,0.87738,0.53165,0.82958,0.96051,0.94482,0.9821,0.7967,0.74151,0.41823,0.80771,0.007228,0.007228,0.007228
58,8166.94,0.87399,0.52797,0.82878,0.96202,0.94114,0.98155,0.7982,0.73845,0.42016,0.80784,0.0071785,0.0071785,0.0071785
59,8307.44,0.86697,0.52171,0.82835,0.96541,0.94622,0.98329,0.80251,0.72927,0.41272,0.80659,0.007129,0.007129,0.007129
60,8447.54,0.85404,0.51346,0.82733,0.95929,0.94423,0.98278,0.79813,0.73816,0.41528,0.8081,0.0070795,0.0070795,0.0070795
61,8587.73,0.86032,0.51922,0.82802,0.96281,0.94695,0.98344,0.8022,0.72583,0.4102,0.80587,0.00703,0.00703,0.00703
62,8727.87,0.85663,0.51452,0.82741,0.96231,0.94621,0.98345,0.80374,0.72127,0.40974,0.80685,0.0069805,0.0069805,0.0069805
63,8867.77,0.85114,0.51015,0.82702,0.96995,0.9478,0.98436,0.81033,0.70698,0.39728,0.804,0.006931,0.006931,0.006931
64,9007.8,0.84113,0.50271,0.82475,0.96883,0.9463,0.98405,0.80721,0.71545,0.39884,0.80436,0.0068815,0.0068815,0.0068815
65,9148.05,0.8476,0.51055,0.82711,0.96551,0.94687,0.98386,0.8087,0.70867,0.39644,0.8047,0.006832,0.006832,0.006832
66,9288.47,0.8385,0.50061,0.82471,0.96791,0.946,0.9841,0.81119,0.70301,0.39693,0.80389,0.0067825,0.0067825,0.0067825
67,9428.6,0.83802,0.50166,0.82598,0.96163,0.94609,0.98347,0.80787,0.70922,0.40274,0.80487,0.006733,0.006733,0.006733
68,9568.53,0.83864,0.49896,0.82468,0.96945,0.95207,0.9855,0.81193,0.70096,0.39018,0.80367,0.0066835,0.0066835,0.0066835
69,9708.75,0.83076,0.49661,0.82432,0.96726,0.94808,0.98478,0.80804,0.71588,0.39761,0.80536,0.006634,0.006634,0.006634
70,9848.9,0.82821,0.49663,0.82371,0.97225,0.94577,0.98455,0.81449,0.69448,0.38947,0.80242,0.0065845,0.0065845,0.0065845
71,9989.11,0.8194,0.48658,0.82254,0.9697,0.9515,0.98574,0.81647,0.6887,0.38715,0.80278,0.006535,0.006535,0.006535
72,10130.8,0.81722,0.48701,0.82289,0.96745,0.95274,0.9852,0.82009,0.67778,0.38222,0.80057,0.0064855,0.0064855,0.0064855
73,10271,0.81327,0.48437,0.82176,0.97493,0.94797,0.98523,0.81402,0.69437,0.38404,0.8023,0.006436,0.006436,0.006436
74,10411,0.81384,0.48653,0.82246,0.9716,0.95293,0.98528,0.81819,0.68245,0.3818,0.80025,0.0063865,0.0063865,0.0063865
75,10551.2,0.80813,0.48195,0.82127,0.97064,0.95614,0.98603,0.8217,0.67799,0.38097,0.80018,0.006337,0.006337,0.006337
