epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,311.924,2.19853,3.4363,1.03659,0.22349,0.49788,0.23791,0.11279,1.93844,2.08358,0.96315,0.000207465,0.000207465,0.000207465
2,441.195,1.83188,2.19333,0.9598,0.32839,0.52489,0.3914,0.20009,1.72992,1.7461,0.92835,0.000408938,0.000408938,0.000408938
3,532.427,1.7063,1.87655,0.94174,0.41904,0.54933,0.49073,0.26531,1.62541,1.54135,0.91229,0.000603536,0.000603536,0.000603536
4,623.655,1.63073,1.67976,0.929,0.49861,0.53864,0.53965,0.28252,1.6807,1.5201,0.91183,0.000594062,0.000594062,0.000594062
5,714.829,1.57511,1.54169,0.91967,0.54457,0.58591,0.58627,0.32199,1.54945,1.40662,0.90444,0.00058375,0.00058375,0.00058375
6,805.956,1.53873,1.42709,0.91245,0.58539,0.63413,0.65004,0.37665,1.47151,1.24886,0.8839,0.000573438,0.000573438,0.000573438
7,897.157,1.48822,1.33606,0.90412,0.6323,0.64253,0.67538,0.40639,1.42227,1.18392,0.88048,0.000563125,0.000563125,0.000563125
8,988.241,1.47755,1.29287,0.89992,0.65994,0.64174,0.69389,0.41887,1.41132,1.1434,0.87628,0.000552813,0.000552813,0.000552813
9,1079.7,1.4375,1.2199,0.89404,0.64015,0.63945,0.67265,0.38279,1.45228,1.22511,0.88441,0.0005425,0.0005425,0.0005425
10,1171.02,1.42847,1.19078,0.88983,0.69976,0.66073,0.72823,0.45308,1.35376,1.05417,0.86423,0.000532187,0.000532187,0.000532187
11,1262,1.39883,1.14222,0.88823,0.70781,0.67581,0.73428,0.45618,1.33857,1.03124,0.86577,0.000521875,0.000521875,0.000521875
12,1352.92,1.37193,1.10549,0.88192,0.65577,0.66071,0.70788,0.40706,1.42235,1.14005,0.88015,0.000511562,0.000511562,0.000511562
13,1443.85,1.35913,1.0708,0.88029,0.71141,0.6738,0.74131,0.46491,1.3427,1.03496,0.86302,0.00050125,0.00050125,0.00050125
14,1535.12,1.34643,1.04885,0.87651,0.7275,0.66756,0.74902,0.44836,1.39558,1.04321,0.87398,0.000490937,0.000490937,0.000490937
15,1626.18,1.33495,1.02533,0.87751,0.77177,0.69675,0.77456,0.50482,1.25239,0.9261,0.85361,0.000480625,0.000480625,0.000480625
16,1716.96,1.31934,1.00296,0.8734,0.73967,0.68983,0.76024,0.46136,1.36184,0.99948,0.8792,0.000470312,0.000470312,0.000470312
17,1808.29,1.30809,0.97829,0.87123,0.75843,0.69801,0.76827,0.45283,1.39255,0.99408,0.87679,0.00046,0.00046,0.00046
18,1899.25,1.28509,0.95699,0.86807,0.78688,0.71891,0.79844,0.52186,1.24203,0.87353,0.85057,0.000449688,0.000449688,0.000449688
19,1990.19,1.2815,0.93912,0.86816,0.77851,0.703,0.79248,0.50417,1.26591,0.90721,0.85373,0.000439375,0.000439375,0.000439375
20,2081.14,1.26649,0.91741,0.86349,0.80204,0.73485,0.81503,0.53086,1.22747,0.84408,0.84812,0.000429063,0.000429063,0.000429063
21,2171.96,1.25134,0.89807,0.86378,0.79173,0.71746,0.80559,0.51422,1.27268,0.87054,0.85282,0.00041875,0.00041875,0.00041875
22,2263.15,1.24092,0.88488,0.86082,0.78686,0.72726,0.81008,0.52533,1.2417,0.84771,0.8521,0.000408438,0.000408438,0.000408438
23,2353.93,1.2328,0.8706,0.86079,0.79657,0.72795,0.80815,0.52271,1.25712,0.84352,0.85438,0.000398125,0.000398125,0.000398125
24,2444.85,1.22222,0.85747,0.85932,0.81675,0.74647,0.82887,0.54603,1.19142,0.80468,0.84501,0.000387813,0.000387813,0.000387813
25,2535.68,1.20353,0.83856,0.85654,0.77619,0.74081,0.80994,0.50627,1.28288,0.87082,0.86246,0.0003775,0.0003775,0.0003775
26,2626.78,1.20126,0.83466,0.85536,0.81121,0.75369,0.83125,0.55345,1.17264,0.77845,0.8408,0.000367187,0.000367187,0.000367187
27,2717.86,1.19505,0.81828,0.8552,0.8273,0.7485,0.83356,0.56065,1.1675,0.7689,0.8421,0.000356875,0.000356875,0.000356875
28,2808.47,1.17274,0.80124,0.85124,0.81635,0.75083,0.83218,0.55251,1.18086,0.77975,0.8441,0.000346563,0.000346563,0.000346563
29,2899.4,1.17451,0.80154,0.85127,0.82306,0.73977,0.82702,0.54167,1.20644,0.79668,0.84514,0.00033625,0.00033625,0.00033625
30,2990.59,1.16762,0.78732,0.84859,0.84088,0.76079,0.84738,0.57733,1.12881,0.72988,0.83491,0.000325938,0.000325938,0.000325938
31,3081.59,1.15209,0.7744,0.84891,0.83189,0.75463,0.84233,0.56138,1.16983,0.74921,0.84144,0.000315625,0.000315625,0.000315625
