epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,367.972,1.82061,2.06586,1.24196,0.45541,0.66047,0.50744,0.22422,1.73037,1.54222,1.19946,0.000333021,0.000333021,0.000333021
2,729.365,1.66309,1.67054,1.17987,0.38247,0.58872,0.3984,0.16313,1.7888,1.68819,1.28163,0.000659757,0.000659757,0.000659757
3,1089.78,1.60912,1.58951,1.17523,0.50021,0.68522,0.59314,0.29181,1.59238,1.37034,1.1717,0.000979894,0.000979894,0.000979894
4,1450.03,1.57262,1.51177,1.15054,0.5729,0.67439,0.64036,0.31914,1.5889,1.32278,1.15492,0.0009703,0.0009703,0.0009703
5,1810.43,1.53639,1.45871,1.12506,0.69789,0.73436,0.76466,0.41427,1.46211,1.1218,1.105,0.0009604,0.0009604,0.0009604
6,2170.61,1.4906,1.36597,1.11166,0.79662,0.75066,0.81935,0.46097,1.40285,1.06781,1.08295,0.0009505,0.0009505,0.0009505
7,2530.89,1.49131,1.33812,1.10548,0.75991,0.77296,0.82985,0.447,1.45154,1.067,1.09294,0.0009406,0.0009406,0.0009406
8,2890.68,1.45226,1.29034,1.09948,0.75253,0.78054,0.81082,0.42493,1.49544,1.08781,1.10871,0.0009307,0.0009307,0.0009307
9,3250.38,1.42946,1.26653,1.08647,0.80559,0.7864,0.8387,0.44447,1.45218,1.02152,1.091,0.0009208,0.0009208,0.0009208
10,3610.35,1.39849,1.20494,1.07759,0.81931,0.80654,0.84453,0.44707,1.45696,1.0053,1.09693,0.0009109,0.0009109,0.0009109
11,3970.31,1.40958,1.21097,1.07987,0.81262,0.80534,0.84616,0.43443,1.48409,1.04075,1.10856,0.000901,0.000901,0.000901
12,4330.28,1.38602,1.17928,1.06497,0.83209,0.81698,0.86233,0.44501,1.46954,1.01091,1.08782,0.0008911,0.0008911,0.0008911
13,4690.21,1.34733,1.11598,1.0518,0.81379,0.81926,0.84444,0.44613,1.45295,1.00232,1.08409,0.0008812,0.0008812,0.0008812
14,5050.17,1.34865,1.11304,1.05238,0.86861,0.85073,0.89634,0.48179,1.48144,0.91303,1.09154,0.0008713,0.0008713,0.0008713
