epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,441.713,1.84207,2.27076,1.37582,0.44163,0.64492,0.50977,0.22461,1.79869,1.57892,1.52243,0.000333051,0.000333051,0.000333051
2,834.475,1.70352,1.81665,1.33227,0.35665,0.59082,0.36292,0.13976,1.99061,1.80992,1.69733,0.000659787,0.000659787,0.000659787
3,1226.04,1.65499,1.74282,1.32765,0.34147,0.598,0.35609,0.1307,1.95648,1.76742,1.62704,0.000979923,0.000979923,0.000979923
4,1617.52,1.62544,1.64996,1.31461,0.41611,0.61667,0.43426,0.16541,1.97879,1.68534,1.68483,0.0009703,0.0009703,0.0009703
5,2008.85,1.5899,1.5808,1.29487,0.51832,0.62809,0.55897,0.23365,1.79415,1.43944,1.48378,0.0009604,0.0009604,0.0009604
6,2400.51,1.56657,1.54687,1.29418,0.58506,0.72443,0.64058,0.28655,1.61223,1.35087,1.37549,0.0009505,0.0009505,0.0009505
7,2792.06,1.53296,1.48858,1.27048,0.56296,0.67859,0.61616,0.26095,1.73744,1.36404,1.50017,0.0009406,0.0009406,0.0009406
8,3183.56,1.51468,1.43119,1.24395,0.68145,0.69023,0.69269,0.34565,1.6662,1.28176,1.40375,0.0009307,0.0009307,0.0009307
9,3575.42,1.48833,1.41861,1.25204,0.69727,0.71301,0.7457,0.33262,1.8023,1.23134,1.61867,0.0009208,0.0009208,0.0009208
10,3966.74,1.478,1.38756,1.25261,0.65487,0.69336,0.6556,0.26747,1.90138,1.38115,1.65401,0.0009109,0.0009109,0.0009109
11,4358.02,1.43887,1.31398,1.21572,0.60785,0.73882,0.68583,0.29674,1.78208,1.26999,1.58044,0.000901,0.000901,0.000901
12,4749.27,1.44465,1.33215,1.23472,0.75415,0.76835,0.82041,0.42051,1.56708,1.13842,1.4054,0.0008911,0.0008911,0.0008911
13,5140.72,1.43459,1.29996,1.2262,0.70508,0.75652,0.76774,0.376,1.65055,1.1769,1.52192,0.0008812,0.0008812,0.0008812
14,5531.95,1.40977,1.2634,1.21216,0.77612,0.78059,0.83342,0.42341,1.56054,1.11731,1.39971,0.0008713,0.0008713,0.0008713
15,5923.45,1.39409,1.24374,1.2136,0.79168,0.76522,0.81979,0.37647,1.73646,1.12363,1.61911,0.0008614,0.0008614,0.0008614
16,6314.49,1.36651,1.21272,1.19628,0.76168,0.793,0.80229,0.36543,1.72295,1.13922,1.57619,0.0008515,0.0008515,0.0008515
17,6705.81,1.37355,1.19663,1.17915,0.77469,0.78499,0.81526,0.38412,1.65029,1.12859,1.46797,0.0008416,0.0008416,0.0008416
18,7097.02,1.37488,1.19685,1.20162,0.78244,0.79293,0.82625,0.40508,1.61933,1.095,1.40598,0.0008317,0.0008317,0.0008317
19,7488.27,1.35631,1.1596,1.18784,0.82473,0.79799,0.83111,0.40565,1.79552,1.06749,1.75241,0.0008218,0.0008218,0.0008218
20,7879.66,1.35435,1.16768,1.18247,0.80298,0.79984,0.82926,0.41793,1.69651,1.08219,1.51092,0.0008119,0.0008119,0.0008119
21,8270.97,1.33005,1.13793,1.17517,0.87237,0.83425,0.90233,0.46125,1.57628,0.98894,1.42587,0.000802,0.000802,0.000802
22,8662.36,1.331,1.1154,1.17035,0.84494,0.84461,0.87233,0.44028,1.6507,0.97937,1.51433,0.0007921,0.0007921,0.0007921
23,9053.65,1.31394,1.09719,1.1588,0.84863,0.84648,0.88323,0.48279,1.48577,0.9755,1.32992,0.0007822,0.0007822,0.0007822
24,9445.27,1.29395,1.07088,1.15496,0.88515,0.85257,0.909,0.48819,1.61856,0.91699,1.4778,0.0007723,0.0007723,0.0007723
25,9836.72,1.29925,1.06296,1.16443,0.87741,0.85954,0.90224,0.46019,1.59978,0.92206,1.43375,0.0007624,0.0007624,0.0007624
26,10227.8,1.29862,1.05817,1.15647,0.87518,0.86815,0.91158,0.47272,1.57338,0.9144,1.41388,0.0007525,0.0007525,0.0007525
27,10619.2,1.27868,1.01772,1.14943,0.86685,0.85469,0.89757,0.46059,1.63894,0.91581,1.43155,0.0007426,0.0007426,0.0007426
28,11010.4,1.27622,1.02364,1.1545,0.84267,0.83399,0.86135,0.45889,1.59165,0.90766,1.39212,0.0007327,0.0007327,0.0007327
29,11401.7,1.26968,1.01435,1.14701,0.85624,0.85778,0.88998,0.42334,1.83731,0.9678,1.67426,0.0007228,0.0007228,0.0007228
30,11793.2,1.26358,0.99723,1.14143,0.86422,0.87113,0.89789,0.46245,1.73192,0.85842,1.56973,0.0007129,0.0007129,0.0007129
31,12184.7,1.26171,0.98229,1.14001,0.88567,0.87295,0.91101,0.46589,1.74529,0.87303,1.59068,0.000703,0.000703,0.000703
32,12575.9,1.23489,0.96529,1.13342,0.84349,0.85153,0.88409,0.4463,1.72171,0.92797,1.50937,0.0006931,0.0006931,0.0006931
33,12967.1,1.23314,0.95738,1.13068,0.90216,0.88201,0.92209,0.45886,1.69273,0.86488,1.53103,0.0006832,0.0006832,0.0006832
34,13358.4,1.24865,0.95342,1.1304,0.90793,0.8898,0.93016,0.52203,1.5735,0.79123,1.51897,0.0006733,0.0006733,0.0006733
35,13750.6,1.22699,0.94454,1.12574,0.89276,0.88506,0.92123,0.48664,1.67389,0.82405,1.48739,0.0006634,0.0006634,0.0006634
36,14141.7,1.23597,0.94461,1.1264,0.91274,0.89792,0.93573,0.54374,1.47333,0.75762,1.37977,0.0006535,0.0006535,0.0006535
37,14533.2,1.22791,0.936,1.12237,0.88597,0.88881,0.91629,0.46594,1.75395,0.82421,1.58964,0.0006436,0.0006436,0.0006436
38,14924.3,1.21768,0.92696,1.13097,0.92023,0.89728,0.93263,0.52303,1.57784,0.77075,1.53673,0.0006337,0.0006337,0.0006337
39,15315.5,1.21001,0.91634,1.12314,0.92717,0.90436,0.94344,0.54356,1.489,0.76336,1.44521,0.0006238,0.0006238,0.0006238
40,15706.7,1.19971,0.91415,1.12664,0.91488,0.90215,0.94157,0.51131,1.63615,0.78697,1.50018,0.0006139,0.0006139,0.0006139
41,16097.9,1.18893,0.89463,1.10819,0.91934,0.9088,0.94777,0.54896,1.50526,0.71414,1.4056,0.000604,0.000604,0.000604
42,16489.3,1.19231,0.88976,1.11638,0.91804,0.90474,0.9439,0.5284,1.54989,0.73642,1.48146,0.0005941,0.0005941,0.0005941
43,16880.5,1.19599,0.88022,1.10615,0.90315,0.89634,0.92628,0.51521,1.5466,0.74494,1.39568,0.0005842,0.0005842,0.0005842
44,17271.9,1.16556,0.85681,1.09686,0.9122,0.90594,0.93584,0.51255,1.64363,0.74795,1.49898,0.0005743,0.0005743,0.0005743
45,17663.2,1.1694,0.84537,1.09374,0.93936,0.91305,0.94945,0.58524,1.3759,0.64932,1.33532,0.0005644,0.0005644,0.0005644
46,18054.4,1.16728,0.84202,1.0985,0.92094,0.91022,0.94503,0.55617,1.50512,0.69944,1.45218,0.0005545,0.0005545,0.0005545
47,18445.6,1.15358,0.84754,1.09127,0.91027,0.90376,0.9334,0.51622,1.67932,0.73865,1.6355,0.0005446,0.0005446,0.0005446
48,18836.7,1.14949,0.82526,1.08675,0.91072,0.90573,0.93065,0.54485,1.5599,0.71727,1.53977,0.0005347,0.0005347,0.0005347
49,19227.9,1.15394,0.82806,1.09697,0.91673,0.91266,0.94395,0.5384,1.52437,0.69154,1.43845,0.0005248,0.0005248,0.0005248
50,19619.3,1.15689,0.83032,1.08238,0.91522,0.90795,0.93975,0.52866,1.58686,0.73176,1.53887,0.0005149,0.0005149,0.0005149
51,20010.4,1.14796,0.8259,1.09627,0.9184,0.90564,0.93968,0.53257,1.59345,0.75236,1.66323,0.000505,0.000505,0.000505
52,20401.5,1.14903,0.82621,1.09706,0.93386,0.92162,0.95509,0.5723,1.53215,0.67887,1.55828,0.0004951,0.0004951,0.0004951
53,20792.7,1.14478,0.80595,1.08838,0.9368,0.9249,0.95895,0.5741,1.50511,0.67981,1.53587,0.0004852,0.0004852,0.0004852
