epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6878,1.35273,2.83161,1.27482,0.62971,0.60377,0.66522,0.48094,1.02835,1.57755,1.08219,0.000327684,0.000327684,0.000327684
2,61.6616,1.06642,1.26194,1.07129,0.67952,0.77125,0.79575,0.59266,0.9047,1.05298,1.00895,0.00065011,0.00065011,0.00065011
3,90.8397,1.05656,1.08515,1.05729,0.77284,0.78771,0.846,0.6327,0.91439,0.93123,1.03365,0.000961537,0.000961537,0.000961537
4,119.883,1.02175,1.01133,1.05892,0.85601,0.79187,0.88422,0.65203,0.91472,0.80082,1.02679,0.0009505,0.0009505,0.0009505
5,148.865,0.98545,0.85736,1.03626,0.90873,0.8843,0.95218,0.73656,0.82819,0.62689,0.98266,0.000934,0.000934,0.000934
6,177.858,0.94632,0.8329,1.01666,0.85674,0.86011,0.94569,0.74118,0.80977,0.61265,0.9696,0.0009175,0.0009175,0.0009175
7,206.838,0.93323,0.76754,1.01218,0.86936,0.87208,0.93688,0.72993,0.81983,0.69099,0.97558,0.000901,0.000901,0.000901
8,235.8,0.93151,0.76253,1.00586,0.91432,0.90441,0.95677,0.75463,0.78422,0.54619,0.96253,0.0008845,0.0008845,0.0008845
9,264.752,0.91516,0.71901,1.00906,0.91676,0.89505,0.95604,0.7547,0.76248,0.55993,0.94933,0.000868,0.000868,0.000868
10,293.662,0.87845,0.68992,0.99901,0.92818,0.92352,0.96693,0.77123,0.77505,0.52625,0.96017,0.0008515,0.0008515,0.0008515
11,322.617,0.88621,0.64394,0.99221,0.91468,0.85849,0.94546,0.74956,0.77943,0.61074,0.95404,0.000835,0.000835,0.000835
12,351.6,0.86444,0.65327,0.9795,0.94172,0.92284,0.96779,0.7727,0.74351,0.47383,0.9411,0.0008185,0.0008185,0.0008185
13,380.497,0.83486,0.59996,0.97641,0.94282,0.91329,0.97265,0.78813,0.71577,0.47953,0.93109,0.000802,0.000802,0.000802
14,409.438,0.85159,0.59728,0.97707,0.94779,0.91258,0.96725,0.7743,0.74275,0.47129,0.93611,0.0007855,0.0007855,0.0007855
15,438.366,0.85128,0.59577,0.97715,0.9441,0.9443,0.97735,0.80103,0.69598,0.44277,0.92234,0.000769,0.000769,0.000769
16,467.297,0.81571,0.5764,0.96209,0.93624,0.90901,0.97282,0.78898,0.72431,0.46423,0.93522,0.0007525,0.0007525,0.0007525
17,496.165,0.80875,0.56169,0.95813,0.93292,0.91374,0.96888,0.79576,0.70431,0.48479,0.9224,0.000736,0.000736,0.000736
18,525.057,0.79134,0.55607,0.95042,0.93492,0.91517,0.9664,0.78547,0.70427,0.47598,0.92466,0.0007195,0.0007195,0.0007195
19,553.934,0.79081,0.55769,0.95499,0.94531,0.92643,0.97148,0.79575,0.69764,0.44834,0.91831,0.000703,0.000703,0.000703
20,582.835,0.78928,0.53533,0.9574,0.96571,0.94058,0.97843,0.80654,0.703,0.42526,0.93724,0.0006865,0.0006865,0.0006865
21,611.818,0.77827,0.50469,0.95371,0.9394,0.94562,0.98382,0.81337,0.68486,0.44133,0.91501,0.00067,0.00067,0.00067
22,640.737,0.77417,0.5069,0.94287,0.95392,0.948,0.98379,0.81554,0.692,0.40465,0.91444,0.0006535,0.0006535,0.0006535
