epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.4335,1.29416,2.62515,1.30006,0.49512,0.66234,0.55436,0.40172,0.93245,1.33991,1.09046,0.00033262,0.00033262,0.00033262
2,108.011,1.09896,1.4867,1.18094,0.76637,0.72115,0.81009,0.61358,0.88305,0.93753,1.07758,0.000657712,0.000657712,0.000657712
3,165.963,1.11019,1.30497,1.19825,0.77063,0.76355,0.8487,0.63055,0.89997,0.92927,1.08453,0.000974554,0.000974554,0.000974554
4,221.482,1.10075,1.18105,1.1887,0.78258,0.81537,0.88215,0.67364,0.88031,0.83717,1.07063,0.000962875,0.000962875,0.000962875
5,273.866,1.05812,1.13373,1.163,0.81407,0.84173,0.8955,0.69611,0.8397,0.74204,1.04147,0.0009505,0.0009505,0.0009505
6,327.304,1.01737,1.03748,1.13965,0.87494,0.82768,0.925,0.70515,0.85939,0.72502,1.0587,0.000938125,0.000938125,0.000938125
7,379.708,0.98821,0.98503,1.12783,0.87833,0.88,0.93441,0.72817,0.79625,0.68223,1.02332,0.00092575,0.00092575,0.00092575
8,432.154,0.98216,0.98212,1.12811,0.8963,0.91006,0.95603,0.75356,0.78414,0.60366,1.02023,0.000913375,0.000913375,0.000913375
9,484.747,0.97689,0.92298,1.11465,0.86656,0.85969,0.93723,0.73388,0.82635,0.62565,1.02619,0.000901,0.000901,0.000901
10,536.949,0.94866,0.89876,1.11273,0.90497,0.8567,0.94279,0.75045,0.77132,0.58833,1.02045,0.000888625,0.000888625,0.000888625
11,589.312,0.93299,0.83792,1.09603,0.93136,0.93209,0.97136,0.75769,0.81715,0.53705,1.03317,0.00087625,0.00087625,0.00087625
12,641.684,0.9249,0.78491,1.09118,0.94267,0.92905,0.97403,0.7765,0.75738,0.48028,1.00152,0.000863875,0.000863875,0.000863875
13,694.101,0.90159,0.75629,1.08347,0.9292,0.90807,0.96233,0.77462,0.73439,0.51597,0.99288,0.0008515,0.0008515,0.0008515
14,746.205,0.89015,0.75548,1.07333,0.92216,0.91759,0.97155,0.78229,0.73563,0.50044,0.98898,0.000839125,0.000839125,0.000839125
15,798.625,0.88187,0.71883,1.0617,0.93959,0.9291,0.9711,0.7858,0.73329,0.50877,0.98569,0.00082675,0.00082675,0.00082675
16,850.979,0.85583,0.67248,1.05582,0.94412,0.94511,0.98111,0.79306,0.73227,0.45507,0.98423,0.000814375,0.000814375,0.000814375
17,903.412,0.88239,0.69442,1.06554,0.92934,0.93222,0.97633,0.79914,0.72524,0.46558,0.98046,0.000802,0.000802,0.000802
18,955.796,0.87714,0.70922,1.0482,0.93738,0.91144,0.96919,0.79054,0.71237,0.48262,0.97303,0.000789625,0.000789625,0.000789625
19,1008.05,0.87686,0.70467,1.05999,0.91631,0.91859,0.96057,0.79239,0.70308,0.53987,0.96607,0.00077725,0.00077725,0.00077725
20,1060.41,0.85943,0.66735,1.05758,0.94049,0.92898,0.96942,0.79732,0.71574,0.47263,0.97542,0.000764875,0.000764875,0.000764875
21,1112.59,0.83369,0.64116,1.04051,0.93905,0.94717,0.97563,0.80366,0.69774,0.43748,0.96757,0.0007525,0.0007525,0.0007525
22,1165.02,0.83366,0.6447,1.04102,0.91509,0.89232,0.95964,0.78802,0.69738,0.51198,0.96927,0.000740125,0.000740125,0.000740125
23,1217.28,0.83472,0.64571,1.03828,0.94746,0.94054,0.97597,0.79364,0.70874,0.44428,0.9726,0.00072775,0.00072775,0.00072775
24,1269.54,0.81757,0.62126,1.03052,0.94297,0.94062,0.98206,0.81323,0.68983,0.4274,0.96047,0.000715375,0.000715375,0.000715375
25,1321.86,0.79982,0.60664,1.04043,0.9637,0.95607,0.98298,0.81542,0.68684,0.40833,0.95542,0.000703,0.000703,0.000703
26,1374.21,0.79681,0.59491,1.02114,0.94346,0.96466,0.98287,0.81148,0.6847,0.40791,0.95698,0.000690625,0.000690625,0.000690625
27,1426.42,0.79623,0.56253,1.01113,0.97158,0.95819,0.98642,0.82061,0.67405,0.37798,0.94828,0.00067825,0.00067825,0.00067825
28,1478.87,0.80963,0.56008,1.02896,0.94852,0.95322,0.98049,0.82011,0.65889,0.40188,0.94933,0.000665875,0.000665875,0.000665875
29,1531.22,0.79788,0.57321,1.02857,0.9716,0.95941,0.98486,0.81311,0.68245,0.38787,0.95556,0.0006535,0.0006535,0.0006535
30,1583.55,0.78253,0.57099,1.01622,0.94373,0.95886,0.97391,0.81143,0.67657,0.42278,0.9521,0.000641125,0.000641125,0.000641125
31,1635.84,0.79726,0.55011,1.02154,0.972,0.96728,0.98616,0.82048,0.68638,0.37522,0.94953,0.00062875,0.00062875,0.00062875
